City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.42,19.23,61.16,45,0,3.45,ZA,1595022699
leh,34.17,77.58,62.4,35,6,2.09,IN,1595022699
carnarvon,-24.87,113.63,50.0,100,0,3.6,AU,1595022630
khatanga,71.97,102.5,39.29,92,100,5.18,RU,1595022700
chiesanuova,43.9,12.42,64.99,82,0,1.5,SM,1595022700
iqaluit,63.75,-68.51,48.2,93,75,3.6,CA,1595022700
urubicha,-15.38,-62.95,79.88,48,70,0.88,BO,1595022700
acari,-15.43,-74.62,65.23,60,48,2.7,PE,1595022700
ayer itam,-15.43,-74.62,65.23,60,48,2.7,PE,1595022700
komsomolskiy,40.43,71.72,78.8,34,99,4.1,UZ,1595022701
zambezi,-13.54,23.1,50.05,60,0,2.83,ZM,1595022701
port alfred,-33.59,26.89,65.05,28,0,4.33,ZA,1595022701
lebu,-37.62,-73.65,52.72,88,0,6.94,CL,1595022701
ushumun,52.78,126.53,69.87,90,66,2.09,RU,1595022701
vila,42.03,-8.16,82.4,45,0,3.6,PT,1595022701
jerez,14.1,-89.75,91.4,43,20,2.6,GT,1595022702
belushya guba,14.1,-89.75,91.4,43,20,2.6,GT,1595022702
trincomalee,8.57,81.23,81.54,76,100,2.78,LK,1595022702
port elizabeth,-33.92,25.57,46.4,61,0,2.1,ZA,1595022702
nouadhibou,20.93,-17.03,69.8,94,0,7.7,MR,1595022702
naze,28.37,129.48,80.6,94,75,5.7,JP,1595022702
champerico,14.3,-91.92,93.2,52,40,3.1,GT,1595022703
sola,-13.88,167.55,78.8,100,75,6.94,VU,1595022703
bismarck,46.81,-100.78,97.0,47,1,7.2,US,1595022703
castro,-24.79,-50.01,59.97,89,0,1.19,BR,1595022703
carballo,43.21,-8.69,70.0,73,0,1.99,ES,1595022703
hithadhoo,-0.6,73.08,83.88,75,98,4.76,MV,1595022703
victor harbor,-35.57,138.62,59.0,49,100,1.34,AU,1595022703
fujin,47.26,132.03,73.09,83,0,3.85,CN,1595022629
qaqortoq,60.72,-46.03,69.8,22,0,3.1,GL,1595022449
qaanaaq,77.48,-69.36,46.08,69,100,4.36,GL,1595022704
upernavik,72.79,-56.15,45.88,63,70,3.14,GL,1595022704
wageningen,51.97,5.67,64.99,93,90,1,NL,1595022704
svinita,44.5,22.11,60.01,90,100,2.73,RO,1595022704
kurri kurri,-32.82,151.48,52.0,94,62,1.22,AU,1595022704
mchinji,-13.8,32.88,49.23,97,57,2.92,MW,1595022705
leeton,-34.57,146.4,32.0,86,1,2.6,AU,1595022705
sentyabrskiy,-34.57,146.4,32.0,86,1,2.6,AU,1595022705
halifax,44.65,-63.57,66.99,74,100,0.45,CA,1595022409
itainopolis,-7.45,-41.48,80.2,36,0,2.96,BR,1595022705
cape girardeau,37.31,-89.52,75.2,88,90,3.1,US,1595022705
saleaula,37.31,-89.52,75.2,88,90,3.1,US,1595022705
solin,43.55,16.5,69.8,46,0,3.6,HR,1595022706
butaritari,3.07,172.79,83.03,77,27,7.34,KI,1595022706
lompoc,34.64,-120.46,71.6,60,13,7.2,US,1595022438
grand river south east,34.64,-120.46,71.6,60,13,7.2,US,1595022438
inirida,3.87,-67.92,80.29,86,94,0.57,CO,1595022706
ola,59.58,151.28,53.02,91,100,4.23,RU,1595022707
jasper,37.2,-94.35,95.0,44,1,6.2,US,1595022707
torbay,47.67,-52.73,51.01,100,90,7.7,CA,1595022707
port hardy,50.7,-127.42,64.4,68,20,7.2,CA,1595022707
matara,5.95,80.54,78.75,87,97,3.56,LK,1595022707
nizwa,22.93,57.53,91.15,39,100,2.37,OM,1595022708
tasiilaq,65.61,-37.64,57.2,35,0,3.1,GL,1595022708
rocha,-34.48,-54.33,57.07,91,99,5.29,UY,1595022708
mount isa,-20.73,139.5,39.2,51,16,4.03,AU,1595022708
syedove,47.08,38.16,68.0,100,6,5.36,UA,1595022708
leningradskiy,69.38,178.42,37.53,86,95,7.13,RU,1595022708
noyabrsk,63.2,75.45,56.59,68,32,7.1,RU,1595022472
cotonou,6.37,2.42,75.2,94,20,3.1,BJ,1595022575
ribeira grande,38.52,-28.7,69.93,79,9,6.25,PT,1595022708
saint george,37.1,-113.58,104.0,12,1,5.7,US,1595022709
klaksvik,62.23,-6.59,50.0,87,64,10.3,FO,1595022709
parana,-31.73,-60.52,55.0,94,100,2.83,AR,1595022532
touros,-5.2,-35.46,77.0,88,40,2.6,BR,1595022566
saint-philippe,-21.36,55.77,66.2,77,90,3.6,RE,1595022709
zhigansk,66.77,123.37,57.06,95,100,2.64,RU,1595022709
paragominas,-2.97,-47.48,78.51,67,14,1.86,BR,1595022709
kargasok,59.06,80.86,51.6,83,0,1.85,RU,1595022709
pestretsy,55.75,49.65,57.2,87,44,2,RU,1595022710
nueva guinea,11.69,-84.46,82.51,76,34,4.84,NI,1595022710
victoria,22.29,114.16,84.0,83,100,4.47,HK,1595022630
isangel,-19.55,169.27,71.6,83,20,1.5,VU,1595022710
san quintin,30.48,-115.95,75.34,60,0,6.68,MX,1595022711
umzimvubu,30.48,-115.95,75.34,60,0,6.68,MX,1595022711
bogovarovo,58.98,47.02,55.31,97,1,1.78,RU,1595022711
yuxia,34.06,108.63,73.0,100,71,1,CN,1595022569
tsihombe,34.06,108.63,73.0,100,71,1,CN,1595022569
sirohi,24.88,72.87,86.52,66,2,1.67,IN,1595022711
tazovskiy,67.47,78.7,45.07,82,45,2.47,RU,1595022711
leshukonskoye,64.9,45.76,52.68,97,2,2.21,RU,1595022712
nome,64.5,-165.41,66.0,77,1,4.1,US,1595022712
mubende,0.56,31.39,63.27,63,99,0.58,UG,1595022712
rondonopolis,-16.47,-54.64,79.95,29,10,2.16,BR,1595022712
lamar,33.67,-95.58,96.01,56,20,5.7,US,1595022712
nizhneyansk,33.67,-95.58,96.01,56,20,5.7,US,1595022712
hambantota,6.12,81.12,78.8,94,100,1.5,LK,1595022712
murgab,37.5,61.97,86.0,27,40,4.1,TM,1595022713
palauig,15.44,119.9,81.32,74,97,1.91,PH,1595022713
uige,-7.61,15.06,64.27,50,43,1.27,AO,1595022713
chapais,49.78,-74.85,78.8,47,40,6.2,CA,1595022713
arraial do cabo,-22.97,-42.03,69.8,77,1,5.7,BR,1595022713
gorontalo,0.54,123.06,74.03,89,15,0.82,ID,1595022713
hofn,64.25,-15.21,53.46,67,95,6.32,IS,1595022713
kaiserslautern,49.45,7.75,66.0,82,75,1.66,DE,1595022714
broome,42.25,-75.83,82.99,51,1,3.6,US,1595022714
cuiluan,47.72,128.65,73.26,81,98,0.82,CN,1595022714
bubaque,11.28,-15.83,78.42,85,100,10.44,GW,1595022714
golyshmanovo,56.4,68.37,67.84,75,63,0.8,RU,1595022714
ponta delgada,37.73,-25.67,69.8,77,75,2.6,PT,1595022714
alofi,-19.06,-169.92,80.6,69,53,5.1,NU,1595022714
suhbaatar,50.23,106.21,55.04,71,25,1.3,MN,1595022714
vostok,46.49,135.88,70.9,75,21,0.29,RU,1595022714
ancud,-41.87,-73.82,48.2,100,90,5.1,CL,1595022715
kropotkin,45.44,40.58,64.47,95,3,2.86,RU,1595022715
faanui,-16.48,-151.75,77.63,80,1,5.53,PF,1595022715
kalmunai,7.42,81.82,81.28,77,99,2.15,LK,1595022715
chunskiy,56.08,99.63,51.06,89,99,2.41,RU,1595022715
belmonte,-15.86,-38.88,73.4,64,0,2.1,BR,1595022715
caravelas,-17.71,-39.25,70.54,65,31,2.56,BR,1595022715
zhuhai,22.28,113.57,84.99,83,40,4.1,CN,1595022652
alice springs,-23.7,133.88,37.4,47,0,2.1,AU,1595022463
portland,45.52,-122.68,75.0,49,75,7.2,US,1595022648
nsanje,-16.92,35.26,59.07,94,46,2.1,MW,1595022715
kuznechnoye,61.12,29.87,61.0,57,0,1.64,RU,1595022716
hundorp,61.56,9.94,53.01,96,98,1.34,NO,1595022716
codrington,-38.27,141.97,48.54,65,100,7.79,AU,1595022716
tulun,54.56,100.58,48.29,91,11,3.51,RU,1595022716
dzhusaly,54.56,100.58,48.29,91,11,3.51,RU,1595022716
zacamulpa,19.36,-99.33,75.2,35,75,3.1,MX,1595022716
mwene-ditu,-7,23.45,64.26,44,18,2.98,CD,1595022716
kirakira,-10.45,161.92,81.64,79,91,4.1,SB,1595022717
vikevag,59.1,5.7,59.0,100,90,4.6,NO,1595022717
krasnoselkup,65.7,82.47,47.55,81,73,3.09,RU,1595022717
hede,33.77,120.25,73.09,97,100,4.78,CN,1595022717
samarai,-10.62,150.67,75.72,86,100,7.36,PG,1595022717
fengkou,30.08,113.27,77.27,94,100,2.01,CN,1595022717
san rafael,-34.62,-68.33,58.28,36,1,3.96,AR,1595022512
albion,42.24,-84.75,86.0,51,1,2.6,US,1595022718
vestmanna,62.16,-7.17,50.0,87,67,10.3,FO,1595022718
prince rupert,54.32,-130.32,57.2,87,90,2.6,CA,1595022718
namatanai,-3.67,152.43,81.79,75,92,3.13,PG,1595022718
copiapo,-27.37,-70.33,55.4,76,75,4.1,CL,1595022718
korla,41.76,86.15,86.0,56,1,0.89,CN,1595022718
angoche,-16.23,39.91,69.78,73,60,6.84,MZ,1595022667
ilhabela,-23.78,-45.36,66.83,83,7,2.44,BR,1595022719
ledyard,41.44,-72.01,73.0,94,90,2.97,US,1595022719
vila franca do campo,37.72,-25.43,69.8,77,75,2.6,PT,1595022719
nuuk,64.18,-51.72,64.4,34,0,5.7,GL,1595022590
salvador,13.83,-88.92,91.4,49,40,3.6,SV,1595022719
nishihara,26.18,127.76,82.4,94,90,4.1,JP,1595022719
birjand,32.87,59.22,77.0,25,0,5.1,IR,1595022719
okhotsk,59.38,143.3,56.62,90,98,2.33,RU,1595022720
taltal,-25.4,-70.48,57.22,79,34,2.79,CL,1595022720
attawapiskat,-25.4,-70.48,57.22,79,34,2.79,CL,1595022720
winnemucca,40.97,-117.74,100.4,8,1,7.7,US,1595022720
morros,-9.45,-46.3,76.82,36,0,2.35,BR,1595022720
ushtobe,45.25,77.98,76.64,33,99,2.3,KZ,1595022720
geraldton,-28.77,114.6,48.2,87,75,3.6,AU,1595022720
baherden,38.44,57.43,87.49,25,0,1.54,TM,1595022720
waingapu,-9.66,120.26,73.13,86,6,3.17,ID,1595022721
zhigalovo,54.81,105.16,52.11,89,95,1.75,RU,1595022721
cairns,-16.92,145.77,59.0,82,100,5.7,AU,1595022721
jalu,29.03,21.55,85.14,36,0,5.06,LY,1595022721
dikson,73.51,80.55,40.62,96,91,4.24,RU,1595022721
pacific grove,36.62,-121.92,73.99,56,1,5.1,US,1595022721
coruripe,-10.13,-36.18,74.01,83,36,5.83,BR,1595022721
mayumba,-3.43,10.66,70.03,91,58,1.01,GA,1595022722
mkushi,-13.62,29.39,43.75,91,54,1.89,ZM,1595022722
kieta,-6.22,155.63,81.97,73,97,2.13,PG,1595022722
bud,39.45,-86.18,87.01,51,1,1.5,US,1595022722
palabuhanratu,39.45,-86.18,87.01,51,1,1.5,US,1595022722
acarau,-2.89,-40.12,78.87,73,11,5.6,BR,1595022722
kruisfontein,-34,24.73,58.26,31,0,4.84,ZA,1595022722
alotau,-34,24.73,58.26,31,0,4.84,ZA,1595022722
oeiras,-7.03,-42.13,80.02,42,0,2.4,BR,1595022723
abashiri,44.02,144.27,66.0,80,0,1.34,JP,1595022723
rabo de peixe,37.8,-25.58,69.8,77,75,2.6,PT,1595022723
san carlos de bariloche,-41.15,-71.31,39.2,93,75,2.1,AR,1595022670
chokurdakh,70.63,147.92,51.44,54,0,3.18,RU,1595022723
payo,-3.75,103.64,70.41,94,42,0.64,ID,1595022723
narsaq,60.92,-46.05,69.8,22,0,3.1,GL,1595022723
airai,-8.93,125.41,56.86,100,29,1.76,TL,1595022723
naantali,60.47,22.02,64.4,63,80,3.6,FI,1595022724
praia,14.92,-23.51,77.0,69,75,5.1,CV,1595022724
lasa,46.62,10.7,53.6,76,40,2.6,IT,1595022724
dunda,-8.12,34.25,53.49,63,6,3.14,TZ,1595022724
lagoa,39.05,-27.98,69.71,82,72,5.36,PT,1595022724
pecos,31.42,-103.49,104.0,16,1,6.2,US,1595022725
cockburn town,21.46,-71.14,86.0,66,40,5.1,TC,1595022725
chulym,55.1,80.96,57.99,78,6,3.11,RU,1595022725
tirumullaivasal,11.23,79.83,79.27,80,100,2.43,IN,1595022725
assiniboia,49.63,-105.98,79.21,41,84,5.89,CA,1595022725
san cristobal,7.77,-72.22,87.8,55,40,2.6,VE,1595022725
kaitangata,-46.28,169.85,44.01,77,0,1.79,NZ,1595022720
winchester,51.07,-1.32,64.0,72,1,2.6,GB,1595022725
haibowan,51.07,-1.32,64.0,72,1,2.6,GB,1595022725
sao gabriel da cachoeira,-0.13,-67.09,84.2,74,40,2.1,BR,1595022725
grindavik,63.84,-22.43,44.6,81,75,13.9,IS,1595022726
ndele,8.41,20.65,70.79,95,100,1.76,CF,1595022726
mansfield,53.13,-1.2,66.0,83,16,1.34,GB,1595022726
villa maria,-32.41,-63.24,57.0,71,2,0.89,AR,1595022679
vao,-22.67,167.48,69.33,72,10,6.59,NC,1595022726
karauzyak,-22.67,167.48,69.33,72,10,6.59,NC,1595022726
rurrenabaque,-14.44,-67.53,81.14,65,49,0.36,BO,1595022726
lagos,6.58,3.75,77.0,88,20,1.5,NG,1595022457
dauphin,51.15,-100.05,84.2,54,1,2.6,CA,1595022726
sabla,12.75,4.71,82.63,65,11,3.72,NG,1595022726
cruz alta,-28.64,-53.61,71.6,83,18,4.1,BR,1595022726
faya,18.39,42.45,71.6,46,100,3.1,SA,1595022726
khonuu,18.39,42.45,71.6,46,100,3.1,SA,1595022726
manjacaze,-24.71,33.88,54.75,87,0,0.44,MZ,1595022727
harper,4.38,-7.72,75.24,79,0,2.84,LR,1595022727
navalmoral de la mata,39.89,-5.54,82.0,15,0,0.89,ES,1595022727
ostersund,63.18,14.64,55.4,82,100,6.2,SE,1595022528
nanortalik,60.14,-45.24,47.84,64,0,5.82,GL,1595022727
cayenne,4.93,-52.33,82.4,69,100,4.1,GF,1595022638
ayna,-12.65,-73.92,66.15,65,56,1.37,PE,1595022727
odienne,9.51,-7.57,70.81,95,25,2.12,CI,1595022727
cabra,37.47,-4.44,91.4,27,0,3.1,ES,1595022728
gwadar,25.12,62.33,87.98,63,100,3.79,PK,1595022728
karaul,25.12,62.33,87.98,63,100,3.79,PK,1595022728
diffa,13.32,12.61,80.11,67,100,3.69,NE,1595022728
hamilton,39.18,-84.53,91.99,55,20,3.1,US,1595022320
praia da vitoria,38.73,-27.07,69.8,88,75,4.76,PT,1595022728
warburton,31.55,73.83,84.2,74,20,3.1,PK,1595022728
bambanglipuro,-7.95,110.28,75.06,86,84,3.4,ID,1595022542
labuhan,-6.88,112.21,75.88,83,10,5.2,ID,1595022728
necochea,-38.55,-58.74,51.01,86,100,1.79,AR,1595022559
babanusah,-38.55,-58.74,51.01,86,100,1.79,AR,1595022559
ust-nera,64.57,143.2,59.65,44,92,2.58,RU,1595022729
plettenberg bay,-34.05,23.37,63.59,30,0,3.02,ZA,1595022729
nizhniy kuranakh,58.84,125.49,65.37,92,77,0.65,RU,1595022729
requena,39.49,-1.1,68.0,79,3,2.36,ES,1595022526
amderma,39.49,-1.1,68.0,79,3,2.36,ES,1595022526
kozmodemyansk,56.34,46.57,57.2,93,7,3,RU,1595022729
esperance,-33.87,121.9,42.8,100,40,5.1,AU,1595022729
wanning,18.8,110.4,80.87,89,77,4.04,CN,1595022730
nova vicosa,-17.89,-39.37,70.45,67,24,3.02,BR,1595022730
bulancak,40.94,38.23,73.4,88,75,1,TR,1595022730
laguna,38.42,-121.42,90.0,23,1,6.7,US,1595022730
burns lake,54.23,-125.75,70.02,36,0,3.46,CA,1595022730
tambacounda,13.75,-13.76,80.6,83,40,2.1,SN,1595022731
thaton,16.92,97.37,78.24,89,100,0.81,MM,1595022731
okakarara,-20.58,17.43,43.27,57,0,3.59,NA,1595022731
sao filipe,14.9,-24.5,75.45,78,38,3.63,CV,1595022731
mizdah,31.45,12.98,74.52,62,0,5.73,LY,1595022731
chalon-sur-saone,46.78,4.85,64.4,77,4,2.1,FR,1595022731
flinders,-34.58,150.86,51.01,80,36,0.45,AU,1595022731
gizo,-8.1,156.84,83.05,77,84,6,SB,1595022576
kobojango,-8.1,156.84,83.05,77,84,6,SB,1595022576
fortuna,40.6,-124.16,64.99,87,40,7.7,US,1595022732
belluno,46.15,12.22,66.99,88,49,1.95,IT,1595022732
cam pha,46.15,12.22,66.99,88,49,1.95,IT,1595022732
akhmim,26.56,31.75,86.0,23,0,3.1,EG,1595022732
camopi,3.17,-52.32,74.86,94,98,1.06,GF,1595022732
esso,55.93,158.7,62.15,60,94,1.8,RU,1595022458
mandera,3.94,41.87,79.14,56,100,9.15,KE,1595022732
vardo,70.37,31.11,55.4,82,100,7.7,NO,1595022732
sao joao da barra,-21.64,-41.05,71.6,78,0,4.1,BR,1595022732
port hedland,-20.32,118.57,57.2,93,90,2.6,AU,1595022733
akureyri,65.68,-18.09,44.6,87,90,11.3,IS,1595022733
puerto escondido,15.85,-97.07,87.8,62,40,4.1,MX,1595022733
atar,20.52,-13.05,97.29,23,72,3.19,MR,1595022733
suntar,62.14,117.63,56.19,91,100,1.94,RU,1595022733
fort smith,35.39,-94.4,98.01,41,1,3.1,US,1595022733
marcona,35.39,-94.4,98.01,41,1,3.1,US,1595022733
salalah,17.02,54.09,82.4,88,40,2.1,OM,1595022733
juybar,36.64,52.91,75.2,78,0,2.1,IR,1595022734
saqqez,36.25,46.27,69.37,34,0,1.58,IR,1595022734
heishan,41.69,122.11,69.04,75,94,4.31,CN,1595022734
mangrol,21.12,70.12,82.56,86,24,4.17,IN,1595022734
ambulu,-8.35,113.61,72.84,89,52,2.23,ID,1595022734
ponca city,36.71,-97.09,96.8,56,1,7.2,US,1595022734
tlazazalca,19.97,-102.07,77.0,57,90,6.2,MX,1595022734
kupang,-10.17,123.58,77.0,83,20,4.1,ID,1595022594
elizabeth city,36.29,-76.25,95.0,59,1,3.6,US,1595022735
shimoda,34.67,138.95,63.0,96,100,0.89,JP,1595022735
tadine,-21.55,167.88,71.1,52,0,0.75,NC,1595022735
mys shmidta,-21.55,167.88,71.1,52,0,0.75,NC,1595022735
lorengau,-2.02,147.27,84.33,71,88,3.02,PG,1595022735
nachalovo,46.34,48.2,86.0,22,100,4,RU,1595022735
omsukchan,62.53,155.8,52.14,75,60,3.43,RU,1595022735
nara,34.69,135.8,73.99,100,75,1,JP,1595022735
taraz,42.9,71.37,75.2,36,99,4,KZ,1595022669
mullaitivu,42.9,71.37,75.2,36,99,4,KZ,1595022669
carikar,42.9,71.37,75.2,36,99,4,KZ,1595022669
jiayuguan,39.82,98.3,58.3,60,0,0.76,CN,1595022736
pimenta bueno,-11.67,-61.19,81.32,38,0,1.33,BR,1595022736
kamiiso,41.82,140.65,64.4,82,75,4.6,JP,1595022736
axim,4.87,-2.24,74.25,91,29,2.94,GH,1595022736
bara,10.37,10.73,74.52,87,100,4.83,NG,1595022736
kavaratti,10.57,72.64,83.03,80,99,8.66,IN,1595022736
nizhniy tagil,57.92,59.97,63.14,94,81,1.13,RU,1595022736
egvekinot,66.32,-179.17,50.41,96,100,1.43,RU,1595022737
vila do maio,15.13,-23.22,77.0,69,75,5.1,CV,1595022737
san juan,-31.54,-68.54,60.33,32,0,3.04,AR,1595022543
luis correia,-2.88,-41.67,79.95,75,49,3.98,BR,1595022737
stroesti,47.62,26.13,64.0,88,50,2.6,RO,1595022737
thinadhoo,0.53,72.93,83.77,73,96,3.6,MV,1595022737
bengkulu,-3.8,102.27,75.36,86,66,1.89,ID,1595022683
atlantic beach,30.33,-81.4,89.6,59,40,6.2,US,1595022457
karratha,-20.74,116.85,71.46,72,98,2.47,AU,1595022737
evensk,61.95,159.23,55.74,83,75,1.53,RU,1595022738
srednekolymsk,67.45,153.68,55.76,60,50,4.47,RU,1595022738
shasta lake,40.68,-122.37,100.99,25,0,1.34,US,1595022738
aflu,40.68,-122.37,100.99,25,0,1.34,US,1595022738
batticaloa,7.71,81.69,81.93,76,100,1.57,LK,1595022738
ugoofaaru,5.67,73,84.31,73,98,5.58,MV,1595022738
westport,41.14,-73.36,82.0,78,75,3.6,US,1595022657
longlac,41.14,-73.36,82.0,78,75,3.6,US,1595022657
regina,50.45,-104.62,78.8,54,75,7.2,CA,1595022562
tekirdag,40.98,27.51,64.4,93,0,5.1,TR,1595022458
narino,5.61,-75.18,73.4,49,20,6.2,CO,1595022738
buala,-8.14,159.59,83.79,73,85,3.92,SB,1595022739
rio pomba,-21.27,-43.18,64.31,84,0,1.34,BR,1595022527
sumbawa,-21.27,-43.18,64.31,84,0,1.34,BR,1595022527
rio gallegos,-51.62,-69.22,33.8,96,90,5.1,AR,1595022739
diego de almagro,-26.37,-70.05,55.87,46,0,1.65,CL,1595022739
zatoka,46.07,30.47,69.8,49,2,2,UA,1595022739
