City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
dikson,73.51,80.55,40.77,98,100,6.44,RU
alice springs,-23.7,133.88,48.2,61,83,2.1,AU
kaputa,-8.47,29.66,65.75,60,0,2.65,ZM
vaitape,-16.52,-151.75,78.04,80,51,9.17,PF
russell,32.35,-85.2,96.8,39,20,2.0,US
esperance,-33.87,121.9,48.2,81,75,2.1,AU
san patricio,19.22,-104.7,89.6,70,40,5.1,MX
asyut,27.18,31.18,84.2,45,2,3.6,EG
thompson,55.74,-97.86,77.0,36,75,5.1,CA
buala,-8.14,159.59,80.44,78,77,1.57,SB
laguna,38.42,-121.42,91.0,33,1,5.7,US
troy,42.61,-83.15,77.0,94,40,1.5,US
sarangani,5.4,125.46,83.98,67,59,1.6,PH
limbang,4.75,115.0,77.0,94,75,1.0,MY
alofi,-19.06,-169.92,78.8,74,99,4.6,NU
nikolskoye,59.7,30.79,66.2,68,0,1.0,RU
margate,51.38,1.39,60.01,85,71,0.89,GB
port hawkesbury,45.62,-61.35,75.99,83,90,2.6,CA
cradock,-32.16,25.62,50.25,35,0,2.5,ZA
tasiilaq,65.61,-37.64,51.8,71,0,3.1,GL
aklavik,68.22,-135.01,48.2,70,90,1.42,CA
arraial do cabo,-22.97,-42.03,73.4,83,0,7.2,BR
havre-saint-pierre,50.23,-63.6,77.0,57,1,3.1,CA
kamaishi,39.27,141.88,67.21,90,83,0.35,JP
port lincoln,-34.73,135.87,51.03,74,69,3.86,AU
richards bay,-28.78,32.04,59.61,86,0,1.99,ZA
sengiley,53.96,48.79,64.4,88,0,3.0,RU
ippy,6.27,21.22,68.2,98,100,1.4,CF
berdigestyakh,62.1,126.7,68.23,87,14,4.35,RU
kavieng,-2.57,150.8,81.48,75,42,3.19,PG
tuktoyaktuk,69.45,-133.04,44.6,81,75,2.1,CA
taitung,22.76,121.14,81.72,75,74,1.62,TW
coahuayana,18.73,-103.68,87.8,55,75,2.27,MX
acheng,45.55,126.98,69.01,100,90,2.0,CN
pisco,-13.7,-76.22,66.2,72,23,7.7,PE
gwadar,25.12,62.33,85.21,85,76,2.91,PK
bredasdorp,-34.53,20.04,55.4,93,0,0.48,ZA
uige,-7.61,15.06,65.25,31,18,1.27,AO
olavarria,-36.89,-60.32,58.08,95,91,3.26,AR
aldan,58.6,125.39,63.59,80,100,1.91,RU
noyabrsk,63.2,75.45,53.96,89,100,8.61,RU
mutoko,-17.4,32.23,48.65,88,0,1.22,ZW
fairbanks,64.84,-147.72,69.01,68,90,0.5,US
atuona,-9.8,-139.03,79.74,71,26,6.59,PF
hornepayne,49.21,-84.77,71.58,59,93,6.96,CA
bayangol,50.7,103.47,39.2,90,0,0.94,RU
mazagao,-0.12,-51.29,84.2,79,75,3.6,BR
maun,-19.98,23.42,59.0,38,0,2.6,BW
lompoc,34.64,-120.46,70.0,72,5,5.7,US
bathsheba,13.22,-59.52,86.0,62,20,6.2,BB
najran,17.49,44.13,84.2,42,40,5.1,SA
komsomolskiy,40.43,71.72,77.0,33,8,4.1,UZ
biloela,-24.42,150.5,49.41,78,0,0.47,AU
georgetown,5.41,100.34,80.6,100,40,2.55,MY
bodden town,19.28,-81.25,84.99,83,40,2.6,KY
ende,-8.84,121.66,74.48,79,58,2.1,ID
genhe,50.78,121.52,53.11,94,93,2.42,CN
hambantota,6.12,81.12,79.79,82,81,3.08,LK
soligalich,59.08,42.29,59.05,91,100,1.75,RU
gat,31.61,34.76,80.01,67,0,0.45,IL
ahipara,-35.17,173.17,58.98,86,74,2.57,NZ
port elizabeth,-33.92,25.57,53.6,100,0,2.1,ZA
barra do bugres,-15.07,-57.18,90.32,27,0,2.33,BR
viedma,-40.81,-63.0,50.0,92,97,1.79,AR
khatanga,71.97,102.5,51.67,79,96,2.05,RU
sayan,-11.14,-77.19,73.81,37,20,3.17,PE
red wing,44.56,-92.53,82.4,37,40,5.7,US
luanda,-8.84,13.23,71.6,88,20,4.6,AO
tynda,55.17,124.72,62.02,94,100,4.34,RU
calabozo,8.92,-67.43,82.65,85,97,0.37,VE
beyneu,45.32,55.2,88.3,21,0,7.29,KZ
karasjok,69.47,25.51,57.2,76,75,5.7,NO
nome,64.5,-165.41,55.99,62,75,2.6,US
merauke,-8.47,140.33,75.74,88,100,6.29,ID
ponta do sol,32.67,-17.1,71.6,64,20,5.1,PT
novoagansk,61.94,76.66,58.19,87,67,5.01,RU
sile,41.18,29.61,73.4,88,20,2.6,TR
cap-aux-meules,47.38,-61.86,73.4,73,20,3.6,CA
lewisporte,49.25,-55.05,75.99,50,20,6.2,CA
hue,16.47,107.6,78.8,88,20,1.0,VN
mayya,61.73,130.28,69.8,83,58,2.0,RU
tabuk,17.42,121.44,72.81,86,0,1.83,PH
surt,31.21,16.59,77.05,75,0,4.34,LY
cape town,-33.93,18.42,61.0,93,75,5.1,ZA
provideniya,64.38,-173.3,51.8,71,75,4.0,RU
wajima,37.4,136.9,74.55,81,100,1.68,JP
cherskiy,68.75,161.3,68.99,49,0,3.64,RU
hirara,24.8,125.28,83.95,80,15,6.21,JP
high level,58.52,-117.14,69.8,77,75,2.6,CA
tonantins,-2.87,-67.8,86.36,72,45,0.85,BR
bengkulu,-3.8,102.27,75.97,91,43,2.85,ID
la ronge,55.1,-105.28,66.2,72,90,3.1,CA
porirua,-41.13,174.85,50.0,81,70,3.1,NZ
carnarvon,-24.87,113.63,48.2,87,0,3.6,AU
namatanai,-3.67,152.43,79.79,76,2,2.52,PG
cooma,-36.23,149.13,35.6,69,0,6.2,AU
xudat,41.63,48.68,78.87,66,0,1.54,AZ
nuuk,64.18,-51.72,59.0,41,81,3.1,GL
artvin,41.17,41.83,73.4,88,6,2.6,TR
kaihua,23.37,104.28,65.55,94,100,1.52,CN
new norfolk,-42.78,147.06,44.01,87,67,0.89,AU
tiksi,71.69,128.87,58.8,66,18,4.2,RU
edremit,39.6,27.02,77.0,65,0,4.6,TR
geraldton,-28.77,114.6,48.2,87,0,4.6,AU
kurilsk,45.23,147.88,57.34,91,64,0.45,RU
misratah,32.38,15.09,76.78,72,0,3.91,LY
sterling,39.01,-77.43,98.01,44,40,2.1,US
lavrentiya,65.58,-171.0,50.25,60,46,4.92,RU
castro,-24.79,-50.01,61.43,82,35,1.52,BR
nador,35.17,-2.93,77.0,78,0,1.5,MA
norman wells,65.28,-126.83,62.6,67,75,2.1,CA
kapaa,22.08,-159.32,82.4,78,75,8.2,US
goderich,43.75,-81.72,78.01,83,100,8.32,CA
hasaki,35.73,140.83,73.4,100,75,1.5,JP
molokovo,58.17,36.76,58.5,86,99,1.27,RU
waitati,-45.75,170.57,44.01,81,45,0.45,NZ
coihaique,-45.58,-72.07,33.8,87,90,1.52,CL
lagoa,39.05,-27.98,69.42,75,10,3.11,PT
chekalin,54.1,36.24,59.0,93,0,2.0,RU
luebo,-5.35,21.42,69.46,40,1,0.73,CD
vikhorevka,56.12,101.16,50.0,87,1,2.0,RU
emerald,-23.53,148.17,46.4,93,0,0.5,AU
east london,-33.02,27.91,62.15,74,0,5.58,ZA
saint-pierre,-21.34,55.48,66.2,77,75,6.2,RE
samaipata,-18.15,-63.87,63.03,79,0,3.15,BO
jumla,29.27,82.18,63.18,69,94,1.27,NP
kargasok,59.06,80.86,63.09,91,54,3.43,RU
zyryanka,65.75,150.85,70.25,50,9,6.44,RU
narsaq,60.92,-46.05,64.4,36,11,3.1,GL
varena,54.22,24.57,66.2,68,100,0.5,LT
baykit,61.67,96.37,45.03,84,1,0.79,RU
akyab,20.15,92.9,81.55,82,100,1.55,MM
luau,-10.71,22.22,57.49,44,0,1.63,AO
russkaya polyana,49.42,31.92,65.64,78,19,3.36,UA
arona,28.1,-16.68,86.0,35,0,4.1,ES
kieta,-6.22,155.63,78.73,76,1,2.02,PG
huambo,-12.78,15.74,50.02,48,0,2.33,AO
makakilo city,21.35,-158.09,87.8,55,75,3.1,US
lugovoy,42.95,72.76,78.75,28,71,5.35,KZ
chuy,-33.7,-53.46,66.7,85,94,2.96,UY
pacific grove,36.62,-121.92,72.0,64,1,6.2,US
sao filipe,14.9,-24.5,77.45,81,90,3.59,CV
salalah,17.02,54.09,80.6,88,75,1.0,OM
grand gaube,-20.01,57.66,68.0,69,55,2.68,MU
neiafu,-18.65,-173.98,69.8,94,75,3.6,TO
zhangye,38.93,100.45,73.08,24,100,2.06,CN
ukiah,39.15,-123.21,96.01,31,1,2.1,US
gorom-gorom,14.44,-0.24,85.86,49,54,4.8,BF
aginskoye,51.1,114.53,49.1,86,100,7.39,RU
trinidad,-14.83,-64.9,91.4,49,20,3.1,BO
necochea,-38.55,-58.74,52.0,94,62,3.58,AR
tabou,4.42,-7.35,75.94,89,69,3.96,CI
yulara,-25.24,130.99,53.6,76,90,4.1,AU
mayo,38.89,-76.51,95.0,79,1,5.7,US
comodoro rivadavia,-45.87,-67.5,44.6,87,75,4.1,AR
newcastle,-32.93,151.78,52.0,76,0,7.2,AU
lebu,-37.62,-73.65,53.64,86,1,5.06,CL
taltal,-25.4,-70.48,62.19,62,50,1.1,CL
umea,63.83,20.26,62.6,88,93,2.6,SE
torbay,47.67,-52.73,73.4,43,20,2.1,CA
sadao,6.64,100.42,78.8,100,40,1.5,TH
calbuco,-41.77,-73.13,50.0,93,75,5.1,CL
batagay-alyta,67.8,130.41,61.57,76,98,0.94,RU
marzuq,14.4,46.47,78.3,50,47,1.13,YE
kruisfontein,-34.0,24.73,52.09,53,0,1.84,ZA
the valley,18.22,-63.06,86.0,66,40,6.2,AI
zhigansk,66.77,123.37,60.93,69,99,1.39,RU
amuntai,-2.42,115.25,72.7,98,79,0.31,ID
katsuura,35.13,140.3,75.0,94,75,1.5,JP
ostrovnoy,68.05,39.51,64.4,70,0,6.75,RU
zdvinsk,54.7,78.66,66.09,87,9,1.45,RU
codrington,-38.27,141.97,48.79,82,53,4.47,AU
naze,28.37,129.48,80.6,94,40,2.6,JP
vestmannaeyjar,63.44,-20.27,49.96,78,56,7.49,IS
banjar,-8.19,114.97,78.8,100,40,3.6,ID
voskresenskoye,56.84,45.43,58.32,99,87,1.68,RU
ornskoldsvik,63.29,18.72,60.8,87,73,2.6,SE
severo-kurilsk,50.68,156.12,50.7,90,100,4.66,RU
mao,39.89,4.27,73.4,83,0,2.1,ES
bethel,41.37,-73.41,93.99,52,1,5.7,US
kismayo,-0.36,42.55,76.62,77,100,8.67,SO
katangli,51.71,143.23,55.42,93,100,2.98,RU
guerrero negro,27.98,-114.06,78.89,58,4,7.26,MX
avarua,-21.21,-159.78,77.0,73,83,6.7,CK
monte azul,-15.15,-42.87,69.44,42,90,3.05,BR
zhezkazgan,47.8,67.71,75.2,50,75,5.0,KZ
kalang,5.92,121.36,80.98,78,85,1.85,PH
college,64.86,-147.8,66.2,72,75,1.5,US
leningradskiy,69.38,178.42,38.52,77,57,2.66,RU
te anau,-45.42,167.72,41.77,86,100,0.75,NZ
victoria,22.29,114.16,84.99,80,100,1.34,HK
miragoane,18.44,-73.09,84.61,66,38,0.38,HT
cabo san lucas,22.89,-109.91,93.99,38,40,10.3,MX
mount gambier,-37.83,140.77,44.6,93,40,3.1,AU
havelock,34.88,-76.9,93.2,30,1,4.1,US
aykhal,66.0,111.5,53.6,93,90,3.0,RU
paine,-33.82,-70.75,59.0,72,75,3.1,CL
kropotkin,45.44,40.58,74.73,52,3,4.45,RU
labuhan,-6.88,112.21,76.19,85,13,4.5,ID
broken hill,-31.95,141.43,37.4,91,25,2.6,AU
giyon,8.53,37.98,54.28,88,47,0.79,ET
akola,20.73,77.0,83.5,75,100,4.94,IN
gizo,-8.1,156.84,80.71,76,14,1.73,SB
port-cartier,50.03,-66.87,78.8,54,40,4.6,CA
zabol,32.25,67.25,67.75,24,0,1.64,AF
magadan,59.57,150.8,59.81,63,27,1.01,RU
itoman,26.12,127.67,80.6,94,40,2.1,JP
coquimbo,-29.95,-71.34,57.2,82,100,3.6,CL
ribeira grande,38.52,-28.7,71.6,73,75,3.1,PT
brande,55.94,9.12,61.0,93,56,4.1,DK
mitchell,43.71,-98.03,82.4,45,1,2.1,US
saint-denis,48.92,2.33,75.2,53,57,4.6,FR
monrovia,6.3,-10.8,77.07,87,100,5.12,LR
oktyabrskoye,43.06,44.74,69.8,88,0,2.0,RU
ouargaye,11.5,0.06,78.96,76,96,2.73,BF
sao joao da barra,-21.64,-41.05,71.6,78,0,5.1,BR
port blair,11.67,92.75,80.92,78,99,1.45,IN
talnakh,69.49,88.4,48.2,81,93,8.0,RU
khani,41.96,42.96,77.0,83,90,1.0,GE
ola,59.58,151.28,59.68,64,0,1.35,RU
abay,49.63,72.85,51.8,81,0,3.0,KZ
kloulklubed,7.04,134.26,75.2,94,75,3.44,PW
berlevag,70.86,29.09,57.2,93,75,1.5,NO
lata,40.16,-8.33,64.0,90,0,0.7,PT
trelew,-43.25,-65.31,45.63,80,100,6.88,AR
longyearbyen,78.22,15.64,44.6,87,75,5.7,SJ
north bend,43.41,-124.22,81.0,77,1,11.3,US
gidole,5.65,37.37,54.39,89,95,0.54,ET
hay river,60.82,-115.8,75.2,57,75,2.1,CA
korla,41.76,86.15,73.99,90,100,1.34,CN
saint anthony,45.02,-93.22,82.99,37,1,8.7,US
bulawayo,-20.15,28.58,50.52,55,0,5.0,ZW
souillac,-20.52,57.52,68.0,82,40,5.7,MU
honiara,-9.43,159.95,73.4,94,75,2.6,SB
klaksvik,62.23,-6.59,48.2,87,100,3.6,FO
sitka,57.05,-135.33,55.4,93,90,3.6,US
champerico,14.3,-91.92,91.4,66,75,4.1,GT
kenai,60.55,-151.26,60.8,82,90,6.7,US
clyde river,70.47,-68.59,46.4,81,20,4.1,CA
touros,-5.2,-35.46,77.0,88,20,3.1,BR
algiers,36.75,3.04,73.4,83,20,3.6,DZ
san pedro,14.35,121.02,80.01,83,95,1.79,PH
san miguel el alto,21.02,-102.35,68.0,68,98,2.39,MX
cayenne,4.93,-52.33,84.2,74,75,3.1,GF
bayir,37.27,28.22,69.8,83,0,1.5,TR
grand forks,47.93,-97.03,75.2,64,75,6.7,US
ormara,25.21,64.64,85.82,83,69,6.12,PK
nijar,36.97,-2.21,77.0,83,15,1.0,ES
bucerias,20.75,-105.33,91.0,74,40,6.2,MX
fuyang,32.9,115.82,68.92,94,73,2.55,CN
brae,60.4,-1.35,51.8,93,2,2.1,GB
nemuro,43.32,145.57,59.25,95,64,0.67,JP
karratha,-20.74,116.85,62.87,67,0,4.44,AU
progreso,21.28,-89.67,100.0,37,75,5.44,MX
balatonlelle,46.78,17.7,64.4,93,35,2.6,HU
chazuta,-6.57,-76.14,80.6,65,40,2.6,PE
wellington,-41.29,174.78,50.0,81,61,3.1,NZ
shuangcheng,45.35,126.28,69.01,100,90,2.0,CN
palimbang,6.21,124.19,78.3,79,100,2.14,PH
teluk nibung,3.0,99.82,76.28,91,100,1.64,ID
oyotun,-6.85,-79.3,78.08,48,2,3.32,PE
bangkal,6.07,121.07,77.88,84,63,1.49,PH
moron,-34.65,-58.62,72.0,83,99,2.1,AR
saldanha,-33.01,17.94,48.2,87,0,1.0,ZA
sambava,-14.27,50.17,71.02,75,51,8.08,MG
novikovo,51.15,37.89,59.92,86,25,1.25,RU
iqaluit,63.75,-68.51,44.6,100,90,5.1,CA
asmara,15.33,38.93,61.68,85,100,4.74,ER
balsta,59.57,17.53,66.2,59,71,4.1,SE
fortuna,40.6,-124.16,70.0,68,1,6.2,US
barrow,71.29,-156.79,37.4,74,40,4.1,US
pemba,-12.97,40.52,75.0,78,20,6.7,MZ
chokurdakh,70.63,147.92,69.03,48,65,7.11,RU
yar-sale,66.83,70.83,46.8,87,1,3.86,RU
samarinda,-0.5,117.15,73.42,98,14,0.8,ID
saint-augustin,51.23,-58.65,74.8,51,77,4.54,CA
port hedland,-20.32,118.57,60.8,63,0,4.6,AU
kahta,37.79,38.62,82.4,28,0,4.1,TR
morgantown,39.63,-79.96,93.2,38,75,4.6,US
nizhniy ufaley,55.92,59.98,63.57,96,100,3.07,RU
semme,46.2,1.5,77.0,36,0,2.1,FR
matara,5.95,80.54,78.48,86,99,3.79,LK
orocue,4.79,-71.34,86.34,64,17,2.53,CO
tamworth,52.63,-1.7,57.2,62,34,4.1,GB
qaqortoq,60.72,-46.03,64.4,36,0,3.1,GL
northam,51.03,-4.22,59.0,79,0,0.45,GB
ilulissat,69.22,-51.1,55.4,43,97,1.0,GL
sirnak,37.52,42.46,69.69,22,0,1.76,TR
victor harbor,-35.57,138.62,48.0,89,79,3.63,AU
hamilton,39.18,-84.53,95.0,49,1,6.7,US
buchanan,5.88,-10.05,76.6,88,100,4.43,LR
soyo,-6.13,12.37,71.71,91,47,2.68,AO
avera,33.19,-82.53,96.8,39,1,3.6,US
cabedelo,-6.98,-34.83,77.0,78,20,4.1,BR
adigeni,41.68,42.7,77.0,83,90,1.0,GE
soller,39.77,2.72,77.0,73,0,1.5,ES
calamar,10.25,-74.91,87.8,79,40,6.2,CO
brodick,55.58,-5.15,55.4,76,40,5.7,GB
przeworsk,50.06,22.49,61.0,84,100,1.37,PL
golyshmanovo,56.4,68.37,69.26,75,25,1.41,RU
druzhba,52.04,33.95,58.1,82,0,0.35,UA
melilla,35.29,-2.94,77.0,78,0,1.5,ES
yumbing,9.24,124.66,82.65,74,99,1.21,PH
kautokeino,69.01,23.04,54.36,93,89,1.11,NO
samarai,-10.62,150.67,75.99,85,100,6.69,PG
pinega,64.7,43.39,57.18,58,0,1.1,RU
soure,-0.72,-48.52,80.6,79,100,5.18,BR
nchelenge,-9.35,28.73,64.2,57,0,2.88,ZM
san quintin,30.48,-115.95,78.15,54,0,8.67,MX
tungor,53.38,142.96,55.09,91,99,4.34,RU
gotsu,35.0,132.22,74.64,86,99,3.23,JP
husavik,66.04,-17.34,48.2,76,40,3.6,IS
chapais,49.78,-74.85,73.4,73,75,5.7,CA
kayerkan,69.35,87.76,48.2,81,97,8.0,RU
sandpoint,48.28,-116.55,82.99,36,40,3.1,US
vytegra,61.01,36.45,58.6,68,0,1.5,RU
cap malheureux,-19.98,57.61,68.0,69,42,2.68,MU
portland,45.52,-122.68,88.0,39,20,3.1,US
marfino,55.7,37.38,64.99,93,92,3.0,RU
bundaberg,-24.85,152.35,55.99,93,0,1.5,AU
bealanana,-14.55,48.73,55.4,89,88,3.04,MG
thaton,16.92,97.37,79.0,88,100,0.72,MM
fukue,32.69,128.84,78.64,94,100,6.45,JP
vostok,46.49,135.88,62.17,91,100,1.19,RU
pagudpud,18.56,120.79,80.22,75,0,1.9,PH
axim,4.87,-2.24,75.42,91,41,2.94,GH
nelidovo,56.22,32.78,56.89,91,99,0.53,RU
nova olimpia,-14.8,-57.29,91.26,25,0,1.54,BR
chake chake,-5.25,39.77,75.88,70,44,6.1,TZ
sibu,2.3,111.82,75.2,100,40,1.0,MY
qasigiannguit,68.82,-51.19,55.4,43,94,1.0,GL
doha,25.29,51.53,97.0,75,3,2.1,QA
cheyenne,41.14,-104.82,84.99,34,40,11.3,US
corowa,-36.03,146.38,36.0,92,0,2.23,AU
cabra,37.47,-4.44,88.0,34,5,3.17,ES
north myrtle beach,33.82,-78.68,90.0,66,1,7.2,US
la ciotat,43.17,5.6,73.0,71,0,0.45,FR
rosarito,32.33,-117.03,82.99,57,5,5.1,MX
biu,10.61,12.19,72.19,87,98,2.36,NG
san cristobal,7.77,-72.22,96.8,30,20,7.2,VE
maragogi,-9.01,-35.22,75.04,86,62,5.73,BR
kodiak,57.79,-152.41,57.2,87,90,2.1,US
mahajanga,-15.72,46.32,71.6,43,20,5.1,MG
guazapa,13.88,-89.17,87.8,58,75,2.6,SV
trincomalee,8.57,81.23,81.99,77,100,2.76,LK
oni,42.58,43.44,69.42,61,0,2.24,GE
rio gallegos,-51.62,-69.22,33.8,86,40,1.0,AR
general luna,13.69,122.17,77.72,86,99,1.15,PH
kaitangata,-46.28,169.85,44.01,79,95,4.02,NZ
maceio,-9.67,-35.74,71.6,94,90,3.1,BR
izumo,35.37,132.77,77.0,94,75,1.0,JP
sharjah,25.36,55.4,100.4,41,5,3.1,AE
faya,18.39,42.45,75.2,53,40,7.37,SA
chifeng,42.27,118.96,62.46,58,1,2.22,CN
havoysund,71.0,24.66,55.4,81,100,2.6,NO
goya,-29.14,-59.26,78.69,53,94,2.78,AR
mahibadhoo,3.78,72.97,81.54,79,100,10.63,MV
damaturu,11.75,11.96,84.49,52,34,4.19,NG
binga,-17.62,27.34,57.51,62,0,0.69,ZW
george town,5.41,100.34,80.6,100,40,2.55,MY
shakawe,-18.37,21.85,52.23,45,0,2.11,BW
port hardy,50.7,-127.42,68.0,64,40,7.2,CA
tshikapa,-6.42,20.8,69.71,33,52,0.84,CD
marawi,8.0,124.29,73.99,91,89,1.79,PH
ingham,42.6,-84.38,75.0,100,40,3.1,US
constitucion,-35.33,-72.42,55.11,86,92,4.61,CL
siderno,38.28,16.3,71.6,94,40,0.5,IT
sorada,19.75,84.43,81.99,83,100,1.09,IN
coari,-4.08,-63.14,88.68,58,69,0.92,BR
skjervoy,70.03,20.97,52.83,83,100,1.49,NO
kudahuvadhoo,2.67,72.89,83.17,75,100,10.37,MV
mastaga,40.53,50.0,80.6,83,0,2.1,AZ
vao,-22.67,167.48,68.94,74,11,6.52,NC
galeana,24.83,-100.07,69.35,68,84,3.43,MX
horta,38.53,-28.63,71.6,73,75,3.1,PT
raudeberg,61.99,5.14,55.4,76,75,3.6,NO
izyaslav,50.12,26.82,62.04,88,99,1.74,UA
roma,43.21,-75.46,91.4,49,20,4.6,US
poya,-21.35,165.15,68.09,72,17,1.66,NC
sheridan,44.83,-106.92,87.8,25,1,3.1,US
miri,4.41,114.01,77.0,94,40,1.0,MY
leshukonskoye,64.9,45.76,55.65,68,0,1.74,RU
montlucon,46.33,2.6,73.0,45,1,1.02,FR
waipawa,-41.41,175.52,50.0,81,100,3.1,NZ
hofn,64.25,-15.21,57.2,50,75,2.6,IS
tuatapere,-46.13,167.68,39.0,83,93,1.34,NZ
milledgeville,33.08,-83.23,98.01,34,40,1.13,US
pathein,16.78,94.73,78.76,88,100,1.39,MM
richmond,37.55,-77.46,99.0,39,20,4.1,US
can,40.03,27.05,77.0,65,0,4.6,TR
amboasary,-25.03,46.38,64.4,82,20,4.1,MG
chingola,-12.53,27.88,52.9,61,28,3.0,ZM
thibodaux,29.8,-90.82,81.0,89,100,1.07,US
christchurch,-43.53,172.63,51.01,100,0,3.6,NZ
whitianga,-36.83,175.7,59.0,94,61,1.79,NZ
ayagoz,47.97,80.44,69.62,52,85,2.73,KZ
scarborough,54.28,-0.4,57.0,71,99,0.45,GB
chernyy yar,48.06,46.11,75.11,43,31,5.03,RU
semirom,31.42,51.57,60.62,33,0,1.79,IR
sturgeon bay,44.83,-87.38,82.4,51,1,6.2,US
naryan-mar,67.67,53.09,54.18,75,28,3.18,RU
bukama,-9.2,25.85,63.12,39,0,1.36,CD
nizhniy odes,63.64,54.86,52.2,86,11,2.94,RU
pangody,65.85,74.49,46.62,91,24,5.82,RU
indian head,38.6,-77.16,99.0,39,40,4.1,US
vila velha,-20.33,-40.29,69.8,94,75,1.5,BR
caravelas,-17.71,-39.25,71.76,84,87,3.74,BR
felipe carrillo puerto,19.58,-88.05,86.41,76,96,1.55,MX
rurrenabaque,-14.44,-67.53,87.66,51,33,1.38,BO
marsaxlokk,35.84,14.54,75.99,78,20,3.1,MT
muisne,0.6,-80.03,86.0,70,75,3.6,EC
duverge,18.38,-71.52,86.0,74,75,7.2,DO
santa vitoria do palmar,-33.52,-53.37,66.7,83,84,3.02,BR
sijunjung,-0.69,100.95,71.46,91,15,0.38,ID
artesia,33.87,-118.08,89.01,45,1,4.1,US
cockburn town,21.46,-71.14,86.0,70,40,8.2,TC
ponferrada,42.55,-6.6,78.01,67,0,2.68,ES
rincon,32.3,-81.24,93.99,52,40,5.1,US
vangaindrano,-23.35,47.6,65.82,67,100,1.04,MG
asau,46.43,26.4,60.01,98,100,1.12,RO
vernon,50.26,-119.27,79.0,47,75,6.7,CA
ancud,-41.87,-73.82,51.01,93,75,3.1,CL
prince rupert,54.32,-130.32,64.08,71,67,2.22,CA
maningrida,-12.07,134.27,62.28,94,9,3.83,AU
heze,35.24,115.44,70.83,84,0,2.05,CN
